,id,title,author,genre,description,rating,date,completed,age,free,link,previous,remake
1503,15569,타투,노지현,"옴니버스, 드라마","밝고 쾌활한 여고생 현진과 새로 오픈한 타투 가게의 진우, 유기를 중심으로 벌어지는 옴니버스!! 타투를 하러 오는 사람들에게 신비한 일이 일어나는데...과연 어떤일이 벌어질까요?",9.2,2006.08.03 00:00,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=15569,0,
1149,15938,와탕카,우주인,"에피소드, 개그","와탕카='만세','지화자'
좋은 패가 들어오면 외치는 단어 와탕카! 우주인 작가님의 불타는 유머 센스에 우리 모두 와탕카!!",9.63,2006.12.28 00:00,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=15938,0,
186,22073,까뱅,X-TEAM,"에피소드, 개그","치킨시티의 새로운 영웅 '까뱅'
오늘도 그의 활약은 계속된다!",8.83,2007.02.23 00:00,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=22073,0,
722,15439,사랑in,전세훈,"옴니버스, 로맨스",전세훈의 감성터치-사랑in우리들의 이야기가 수채화 물감처럼 잔잔한 감동으로. 잃어버린 추억과 설렘을 전해드립니다.,9.51,2007.06.27 00:00,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=15439,0,
1749,20762,AA,선정,"스토리, 로맨스","대머리 사절을 외치는 여인과 
대머리 일것 같은 그녀의 이상형이 벌이는 로맨틱 코미디 액션 드라마!",9.68,2007.08.02 00:00,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=20762,0,
364,22090,도자기,호연,"에피소드, 드라마",어렵다고 느끼는 우리의 문화재를 현대적인 감수성으로 술술 풀어낸 호연 작가님의 세계!오늘의 도자기는 무엇을 품고 있을지 함께 상상해보세요.,9.77,2007.09.26 00:00,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=22090,0,
1568,23183,펫다이어리,요한,"스토리, 드라마","반려동물을 분양 받아야만 입사가 되는 기숙사에서
4마리의 동물과 4명의 주인공이 부딪히며 함께 살아가는 재미있는 이야기!",9.95,2008.02.21 00:00,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=23183,0,
1443,22037,체스아일,cid 혁군,"스토리, 드라마","체스아일 문장(紋章)을 둘러싸고
벌어지는 음모와 배신 그리고 전쟁! 그 안에서 잠자고 있던 한 남자의 원한이 눈을 뜨기 시작한다.",9.86,2008.02.29 00:00,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=22037,0,
114,24777,구석구석캠페인,네이버 웹툰 작가,"에피소드, 일상","“여기가 정말 대한민국?”
주말에 여행할 곳을 찾고 있다면~ 네이버 웹툰 작가들과 함께 대한민국의 구석구석으로 신나는 여행을 떠나보자!",9.22,2008.03.06 00:00,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=24777,0,
1506,24525,탐구생활2,메가쑈킹,"스토리, 개그","배려심이라곤 없는 소심한 남편과 습관성 울컥증에 식탐 강한 아내가
자전거 타고 떠나는 좌충우돌 신혼여행~",9.75,2008.03.31 00:00,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=24525,0,
887,25517,식스센스,릴레이연재,"에피소드, 개그",매주 새로운 주제의 6인 6색 만화를 즐기자! ,9.23,2008.04.14 00:00,TRUE,전체연령가,FALSE,https://comic.naver.com/webtoon/list?titleId=25517,0,
1533,22052,트라우마,곽백수,"에피소드, 개그","황당하고 골 때리는 반전! 
Trauma(-정신적 외상)를 입을 만한 초특급 코믹 펀치! 직접 확인하세요",9.92,2008.04.30 00:00,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=22052,0,
1338,25714,제로,정재한,"스토리, 드라마","늘 행복한 길만 걸어가라고 지어 준 이름 제로(?路)
세상에 남은 그의 유일한 행복, 서연.그는 잃어버린 그녀의 혼을 찾아 떠난다..",9.77,2008.05.30 00:00,TRUE,12세 이용가,FALSE,https://comic.naver.com/webtoon/list?titleId=25714,0,
