,title,heart
0,타투,113
1,와탕카,350
2,까뱅,51
3,사랑in,68
4,AA,116
5,도자기,"2,233"
6,펫다이어리,"11,576"
7,체스아일,184
8,구석구석캠페인,92
9,탐구생활2,68
10,식스센스,89
11,트라우마,"6,450"
12,제로,64
13,태왕광개토,127
14,취업의소리,99
15,에피소드메이비,280
16,개편 축하 릴레이 카툰,125
17,향수,"3,106"
18,와탕카2,133
19,반지의제왕,35
20,골방환상곡,"4,846"
21,3단합체김창남,"11,928"
22,N의등대-thecalling,"2,499"
23,내일은 럭키곰스타,"2,820"
24,N의등대-busted,"3,868"
25,N의등대-도망자,"2,713"
26,핑크레이디,"21,050"
27,창위의일루젼,58
28,탐구생활3,"1,237"
29,고향의꽃,"1,502"
30,슈퍼트리오,35
31,N의등대-눈의등대,"7,392"
32,고(故)노무현 前대통령 추모웹툰,974
33,사노라면,35
34,러브판타지페이퍼,"3,847"
35,플루타크 영웅전,186
36,번데기스,15
37,일편단심화,"1,525"
38,카라멜마끼아또,"3,571"
39,번개기동대 2009,25
40,로봇빠찌,30
41,나는 어디에 있는 거니,432
42,우월한 하루,"10,803"
43,새끼손가락,"8,151"
44,두근두근두근거려,"9,094"
45,연,400
46,고(故)길창덕화백 추모웹툰,77
47,펫다이어리2.런,"6,352"
48,색으로 말하다,309
49,악연,"4,614"
50,겨울동화,"1,356"
51,판타스틱 어른백서,20
52,탐구생활4-그대와 함께 하이킹,523
53,몽타주,690
54,"17살, 그 여름날의 기적","2,045"
55,연옥님이 보고계셔,"1,236"
56,스마일브러시,"2,032"
57,구름의 노래,"5,357"
58,낢에게와요,400
59,패밀리맨,"2,205"
60,싸우자귀신아,"26,822"
61,심장이뛰다,"1,634"
62,소설가J,"3,683"
63,피터팬날다,28
64,공부하기 좋은 날,"12,933"
65,의령수,135
66,증거,76
67,거상 김만덕,234
68,심부름센터 K,"1,710"
69,동경소녀,512
70,열아홉스물하나,"18,045"
71,안나라수마나라,"27,148"
72,미호이야기,"10,475"
73,키스우드,"7,426"
74,입시명문사립 정글고등학교,"27,659"
75,열쇠줍는아이,"1,623"
76,보톡스,635
77,그린스마일,"1,448"
78,힘내요 일본!-[릴레이웹툰],225
79,핑크레이디 클래식,"9,454"
80,혜성같은 소년,614
81,흐드러지다,"2,156"
82,리턴,"1,040"
83,징글정글,462
84,견우와 직녀,"17,643"
85,바이올린처럼.,"2,309"
86,묵회,"1,627"
87,은하연인전,"3,734"
88,테제,"3,920"
89,프로젝트 X,"3,244"
90,"스마일 브러시, 오래된 사진.","1,477"
91,스토커,"9,558"
92,불량 뱀파이어,268
93,멜로홀릭,"3,989"
94,굿모닝 스페이스,"4,493"
95,잉잉잉,"2,665"
96,2011 미스테리 단편,"20,353"
97,단편 할머니/나는내일죽는다,65
98,어서오세요.305호에,"27,791"
99,단군할배요,"1,440"
100,다욤이의 다이어트 다이어리,"4,083"
101,레드초콜릿,"4,136"
102,남기한엘리트만들기,"28,952"
103,[드라마원작] 지금 우리 학교는,"27,535"
104,세개의시간,"5,199"
105,우연일까?,"4,239"
106,2011 루키 단편선,"3,427"
107,수사9단,"8,870"
108,지원,"3,848"
109,야! 오이,"3,250"
110,폭풍의 전학생,"15,520"
111,만화사랑 캠페인,20
112,지상 최악의 소년,"6,345"
113,LOST,"4,144"
114,요리대마왕,"1,648"
115,콘스탄쯔 이야기,"5,727"
116,봄이여 오라,"4,539"
117,얼룩말,"6,036"
118,나란의사 그런의사,"1,215"
119,뜨거운 것이 좋아.,"4,035"
120,연애세포,"4,368"
121,그런지,"1,864"
122,부토,"3,490"
123,커피우유신화,"6,368"
124,고시생툰,"7,870"
125,멍순이,"1,064"
126,키드갱,100
127,폭풍의 전학생 - 리부트,"4,814"
128,별의 유언,"10,578"
129,국가의 탄생,837
130,슈퍼트리오 시즌2,33
131,질풍기획 시즌1,"12,555"
132,MODERN BOYS,"1,874"
133,자율공상축구탐구만화,259
134,실질객관동화,"14,173"
135,초록인간,"2,367"
136,한섬세대,"1,175"
137,리버스,"3,854"
138,아스란영웅전,"13,922"
139,연 시즌2,"2,891"
140,비바 산티아고,921
141,2012 지구가 멸망한다면?,"9,463"
142,악당의 사연,"4,169"
143,크레이지 커피 캣,"2,616"
144,아부쟁이,"6,666"
145,방울토마토,"20,662"
146,옆집화랑,"4,828"
147,진진돌이 에볼루션,"3,518"
148,네이버 앱피소드,"12,011"
149,오란씨100,"1,628"
150,2012 루키 단편선,"5,530"
151,S라인,"6,177"
152,삼봉이발소,"10,734"
153,한 살이라도 어릴 때,"17,774"
154,웨스트우드 비브라토,"4,256"
155,MLB카툰,235
156,후유증,"11,192"
157,이말년씨리즈,"26,986"
158,스쿨홀릭,"9,806"
159,스마트폰 게임 개발 이야기,"1,720"
160,길에서 만나다,"3,898"
161,고삼이 집나갔다,"13,522"
162,꽃밭에솔,"10,100"
163,스펙트럼 분석기,"14,475"
164,경운기를 탄 왕자님,"4,092"
165,달콤한 인생,"25,594"
166,무한동력,"6,451"
167,비흔,"24,905"
168,일상날개짓,"15,953"
169,그린보이,"27,957"
170,닭통령 계양반,"7,556"
171,오늘의 낭만부,"9,588"
172,패션왕,"44,957"
173,아는사람 이야기,"35,130"
174,인형의 기사,"3,834"
175,개판,"8,569"
176,기타맨,"5,816"
177,사랑을 연기하다,"2,059"
178,우주전함 몰라몰라,886
179,사랑일까?,"3,172"
180,소년전[Limit],"5,953"
181,나의 목소리를 들어라,"2,851"
182,새벽9시,"1,883"
183,카오스어택,"13,608"
184,삵의 발톱,"1,116"
185,레사 시즌1,"31,292"
186,타임인조선,"25,647"
187,진진돌이 제로,"3,159"
188,레인보우 로즈,"1,542"
189,사랑의 아쿠아리움,"7,785"
190,바람의 색,"4,157"
191,2013 전설의고향,"24,974"
192,위아더 능력자!,"9,660"
193,아빠를 찾습니다,"12,615"
194,움비처럼,"4,150"
195,수업시간그녀,"12,719"
196,기태류,"5,705"
197,아이들의 권 선생님,"34,456"
198,월남특급,"2,710"
199,네로의 실험실,"7,120"
200,맛집남녀,"3,534"
201,"OH, MY GOD!","11,477"
202,미숙한 친구는 G구인,"6,303"
203,방과 후 전쟁활동,"16,687"
204,아랫집 시누이,"29,191"
205,내일은 웹툰,"2,947"
206,ENT.,"11,674"
207,기사도,"4,478"
208,오렌지 마말레이드,"34,858"
209,터치! 메리크리스마스,"4,007"
210,키드갱 시즌2,"3,549"
211,라이징패스트볼,"10,546"
212,2013 루키 단편선,"4,492"
213,소나기야,"4,518"
214,그날의 생존자들,"9,446"
215,좀비를 위한 나라는 없다,"8,928"
216,한줌물망초,"19,873"
217,악플게임,"23,785"
218,국립자유경제 고등학교 세실고,"17,713"
219,빵점동맹,"12,649"
220,닥터 프로스트 시즌 1~2,"31,410"
221,모던패밀리,"20,288"
222,한국만화거장전,"4,289"
223,그녀는 흡!혈귀,"25,097"
224,새와 같이,"15,227"
225,판타지스케치 - 더 게임,"9,162"
226,네가 없는 세상,"43,407"
227,코끼리를 끌어안는 방법,"16,677"
228,우리의 이상한 여행,"19,010"
229,실질객관영화,"26,525"
230,죄의 파편,"25,592"
231,와라! 편의점,"56,992"
232,너와 너 사이,"30,940"
233,아이들은 즐겁다,"39,005"
234,열무가 익어간다,"17,032"
235,기적! 우리에게 일어난 일들,"15,745"
236,피리부는 남자,"16,577"
237,투엔티스,"61,052"
238,드래곤레시피,"42,930"
239,은주의 방,"51,773"
240,섀도우,"31,138"
241,강시대소동,"36,323"
242,헬로 미스터 테디,"34,053"
243,어른스러운 철구,"35,870"
244,레드카펫,"32,150"
245,사랑의 외계인,"16,486"
246,역전! 야매요리,"99,999+"
247,킥,"25,310"
248,시타를 위하여,"70,328"
249,"2014 네이버 웹툰, 왓 이프?","74,159"
250,버프소녀 오오라,"47,247"
251,꽃가족,"93,678"
252,소년들은 무엇을 하고 있을까,"99,999+"
253,2014 루키 단편선,"11,304"
254,미쳐 날뛰는 생활툰,"27,991"
255,운빨로맨스,"59,217"
256,아프니까 병원이다,"39,541"
257,출격! 반보트,"16,579"
258,SM 플레이어,"89,846"
259,리즌,"24,113"
260,미결,"22,819"
261,싸귀2 : 퇴마록,"74,069"
262,뱀파이어,"43,885"
263,미선 임파서블,"43,690"
